dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,prepared_dataset_dir,runtime_seconds,score_mean,score_std,error,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,9.541861999983666,0.529853153774714,0.1893337153088626,,0.7822046625478334,0.07765604073380877,0.0,0.0,0.0,0.0,1.0978542997013019,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115
054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979,54,WalkingAceleration,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,7.1709361000102945,0.4883879683743116,0.19220326872491475,,0.990733192431562,0.3167550270755471,0.0,0.0,0.0,0.38333333333333336,1.064997774549056,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115
161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995,161,WalkingAceleration,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,115,6684,232,1500,2764,2995,zscore,datasets\normalized\zscore,5.87128500000108,0.5104015211699882,0.18648260621659815,,0.8354115671163178,0.10358097841962083,0.0,0.0,0.0,0.0,1.0698493398197826,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,115,6684,60,2700,5920,5979,zscore,datasets\normalized\zscore,6.15928829999757,0.47793144633725926,0.19177219758777778,,0.987867351046699,0.2478616335926134,0.0,0.0,0.0,0.05,1.0532480391005927,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,5.178258699976141,0.1594140263101614,0.14646794540204813,,0.846856272690827,0.7409328003040272,1.0,0.6016713091922006,0.7513043478260869,0.7186629526462396,0.5988178625163059,216,6962,0,143,1.0,0.44066852367688025,0.6117556071152359,1.0,0.3008356545961003,1.0,0.9958744239013271,178
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,178,7321,359,1000,4675,5033,zscore,datasets\normalized\zscore,5.4204364999895915,0.09050886429698365,0.15275347730541383,,0.8570384874835857,0.7523664729138039,1.0,0.649025069637883,0.7871621621621622,0.7298050139275766,0.5487692962132252,233,6962,0,126,1.0,0.4596100278551532,0.6297709923664122,1.0,0.3245125348189415,1.0,0.9962950477487017,178
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,5.7258215000038035,0.13887445677991703,0.1865080095420429,,0.9699594098443236,0.26851276527337237,0.3047945205479452,0.52046783625731,0.38444924406047515,0.011695906432748537,0.6983984854060459,89,7041,203,82,0.5,0.616374269005848,0.5521215295966475,1.0,0.52046783625731,0.9578095123731052,0.9972952723458455,173
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,173,7415,171,4000,6200,6370,zscore,datasets\normalized\zscore,7.5520895999798086,0.18168305496830994,0.11793307461633949,,0.9957076798382851,0.7998349287472976,0.6428571428571429,0.8421052631578947,0.7291139240506329,0.6783625730994152,0.5354822788173285,144,7164,80,27,0.36923076923076925,0.8736842105263158,0.5190879478827363,1.0,0.8421052631578947,0.9893772276273962,0.9995528267736097,173
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,6.873623999999836,0.4372588139001677,0.20539942930037497,,0.8844602157415038,0.06053531479079548,0.0,0.0,0.0,0.0,1.0534571018012926,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,165,7501,110,2500,5865,5974,zscore,datasets\normalized\zscore,5.917970099981176,0.640872013696551,0.19407807257126275,,0.6687531518677506,0.030718394991285567,0.0,0.0,0.0,0.05454545454545454,1.2231062314103394,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165
144_UCR_Anomaly_InternalBleeding9_4200_6599_6681,144,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,175,7501,83,4200,6599,6681,zscore,datasets\normalized\zscore,4.817705699999351,0.34559339166603414,0.21110852653016446,,0.3401186303585872,0.016583416583416583,0.0,0.0,0.0,0.0,0.9789189712565276,0,7396,22,83,0.0,0.0,0.0,0.0,0.0,0.13524863351553132,0.3526196507132383,175
133_UCR_Anomaly_InternalBleeding14_2800_5607_5634,133,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,154,7501,28,2800,5607,5634,zscore,datasets\normalized\zscore,9.175987800001167,0.10911689421576225,0.1412559216732496,,0.988511020626637,0.1345762656750044,0.15384615384615385,1.0,0.26666666666666666,0.0,0.5328846592355111,28,7319,154,0,0.08484848484848485,1.0,0.1564245810055866,1.0,1.0,0.9877950339222171,1.0,154
132_UCR_Anomaly_InternalBleeding10_3200_4526_4556,132,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,154,7501,31,3200,4526,4556,zscore,datasets\normalized\zscore,5.972673699987354,0.21633363343031706,0.16991358526248695,,0.9934447467288509,0.23077689805987478,0.15048543689320387,1.0,0.2616033755274262,0.16129032258064516,0.726074389217778,31,7295,175,0,0.060546875,1.0,0.1141804788213628,1.0,1.0,0.8301753940898495,1.0,154
024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556,24,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,154,7501,31,3200,4526,4556,zscore,datasets\normalized\zscore,4.257981000002474,0.48155621096909473,0.20745014485748428,,0.9836010709504684,0.14351851851851852,0.0,0.0,0.0,0.0,1.1039066455415476,0,7470,0,31,0.0,0.0,0.0,0.0,0.0,,0.0,154
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681,36,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,175,7501,83,4200,6599,6681,zscore,datasets\normalized\zscore,4.099802400014596,0.4877380092031362,0.19236846383091874,,0.32563984706688714,0.011126271615720221,0.0,0.0,0.0,0.0,1.0648434006958925,0,7418,0,83,0.0,0.0,0.0,0.0,0.0,,0.0,175
025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634,25,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,154,7501,28,2800,5607,5634,zscore,datasets\normalized\zscore,5.410206100001233,0.302362011939848,0.14923131116787175,,0.9906998528034257,0.16015530439266087,0.1794871794871795,1.0,0.30434782608695654,0.0,0.7500559454434633,28,7345,128,0,0.1794871794871795,1.0,0.30434782608695654,1.0,1.0,0.9898936552049471,1.0,154
027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199,27,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7501,13,1200,4187,4199,zscore,datasets\normalized\zscore,5.074123999977019,0.5694267989105296,0.19802427241442275,,0.515090811965812,0.003520173300839426,0.0,0.0,0.0,0.0,1.163499616153798,0,7488,0,13,0.0,0.0,0.0,0.0,0.0,,0.0,183
028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309,28,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7500,112,1600,3198,3309,zscore,datasets\normalized\zscore,4.864982400002191,0.48804232447800083,0.19757074745984893,,0.6782560039446206,0.03730729155579042,0.0,0.0,0.0,0.017857142857142856,1.0807545668575478,0,7388,0,112,0.0,0.0,0.0,0.0,0.0,,0.0,183
031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,31,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7500,161,2700,5759,5919,zscore,datasets\normalized\zscore,5.270955899992259,0.17293947757266237,0.10155520140823192,,0.9971140313089518,0.8017618065151271,0.817258883248731,1.0,0.8994413407821229,0.8198757763975155,0.47760508179735817,161,7303,36,0,0.817258883248731,1.0,0.899441340782123,1.0,1.0,0.9953732656514382,1.0,183
030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,30,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7500,11,3000,4187,4197,zscore,datasets\normalized\zscore,5.4028072000073735,0.5621985924772611,0.1979480232135762,,0.9152332511926584,0.00908828145379928,0.0,0.0,0.0,0.0,1.15604266211799,0,7489,0,11,0.0,0.0,0.0,0.0,0.0,,0.0,183
139_UCR_Anomaly_InternalBleeding20_2700_5759_5919,139,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7500,161,2700,5759,5919,zscore,datasets\normalized\zscore,4.440733800001908,0.10126180995051906,0.11081716109787079,,0.9972443653788701,0.8015892465077121,0.8131313131313131,1.0,0.8969359331476323,0.8322981366459627,0.43371329324413144,161,7302,37,0,0.8131313131313131,1.0,0.8969359331476323,1.0,1.0,0.9952444444444445,1.0,183
029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,29,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7500,103,2300,4485,4587,zscore,datasets\normalized\zscore,4.049737499997718,0.5492729924262592,0.20135420377409546,,0.7700077832655853,0.030136843917114527,0.0,0.0,0.0,0.0,1.1533356037485456,0,7397,0,103,0.0,0.0,0.0,0.0,0.0,,0.0,183
138_UCR_Anomaly_InternalBleeding19_3000_4187_4197,138,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7500,11,3000,4187,4197,zscore,datasets\normalized\zscore,4.320149300008779,0.31143299838747407,0.16658315866565124,,0.9672610738173564,0.022934531157345624,0.0,0.0,0.0,0.0,0.8111824743844278,0,7308,181,11,0.0,0.0,0.0,0.0,0.0,0.9680707182320442,0.9932,183
137_UCR_Anomaly_InternalBleeding18_2300_4485_4587,137,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7500,103,2300,4485,4587,zscore,datasets\normalized\zscore,4.414412599988282,0.5189093105093089,0.23255107699711583,,0.9926590549041793,0.5981039804870136,0.0,0.0,0.0,0.7669902912621359,1.2165625415006565,0,7397,0,103,0.0,0.0,0.0,0.0,0.0,,0.0,183
098_UCR_Anomaly_NOISEInternalBleeding16_1200_4187_4199,98,InternalBleeding,noise,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7501,13,1200,4187,4199,zscore,datasets\normalized\zscore,4.576787300000433,0.7637371767388004,0.16862861120851932,,0.38054220085470086,0.0027706734867860186,0.0,0.0,0.0,0.0,1.2696230103643584,0,7488,0,13,0.0,0.0,0.0,0.0,0.0,,0.0,183
136_UCR_Anomaly_InternalBleeding17_1600_3198_3309,136,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7500,112,1600,3198,3309,zscore,datasets\normalized\zscore,4.922359499993036,0.20918226600833761,0.14602391031910053,,0.9993896956454482,0.9243376595873224,0.5803108808290155,1.0,0.7344262295081967,0.9464285714285714,0.6472539969656392,112,7307,81,0,0.5803108808290155,1.0,0.7344262295081967,1.0,1.0,0.9914576856649396,1.0,183
135_UCR_Anomaly_InternalBleeding16_1200_4187_4199,135,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,183,7501,13,1200,4187,4199,zscore,datasets\normalized\zscore,4.603543200006243,0.5019925084290141,0.21928105569484022,,0.8309294871794871,0.009863429438543247,0.0,0.0,0.0,0.0,1.1598356755135348,0,7488,0,13,0.0,0.0,0.0,0.0,0.0,,0.0,183
134_UCR_Anomaly_InternalBleeding15_1700_5684_5854,134,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,173,7601,171,1700,5684,5854,zscore,datasets\normalized\zscore,4.922666400001617,0.2061920420916455,0.1453062642184556,,0.9779225992302425,0.31584704639089134,0.3218884120171674,0.43859649122807015,0.3712871287128713,0.0935672514619883,0.6421108347470124,75,7272,158,96,0.7520161290322581,0.25012531328320803,0.3753926580136521,1.0,0.06265664160401002,0.9598042498361126,0.9992267868724568,173
142_UCR_Anomaly_InternalBleeding6_1500_3474_3629,142,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,154,7654,156,1500,3474,3629,zscore,datasets\normalized\zscore,5.448914800013881,0.12703399963630677,0.13332718678387515,,0.9922252771679286,0.7631626174816986,0.5576923076923077,0.7435897435897436,0.6373626373626373,0.6346153846153846,0.5270155599879323,116,7406,92,40,0.25,0.7948717948717949,0.3803680981595092,1.0,0.7435897435897436,0.9819237301762779,0.9993136653869604,154
